compound_name,smiles,canonical_smiles,inchikey,source_dataset,source_record_id,column_name,column_chemistry,stationary_phase_type,mobile_phase_a,mobile_phase_b,ph,gradient_profile,initial_organic_pct,final_organic_pct,gradient_duration_min,total_runtime_min,temperature_c,flow_ml_min,injection_ul,ion_mode,precursor_mz,product_mz,rt_min,peak_area,peak_height,sn_ratio,tailing_factor,asymmetry,resolution,matrix,success_flag,quality_score,notes,missing_fields_count
rac-Glycerol 3-phosphoate disodium salt hexahydrate,C(C(COP(=O)(O)O)O)O,C(C(COP(=O)(O)O)O)O,AWUCVROLDVIAJX-UHFFFAOYSA-N,RepoRT:0009,0009_00122,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.16,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Sarcosine,CNCC(=O)O,CNCC(=O)O,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,RepoRT:0009,0009_00123,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.16,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
S-Carboxymethyl-L-cysteine,C(C(C(=O)O)N)SCC(=O)O,C(C(C(=O)O)N)SCC(=O)O,GBFLZEXEOZUWRN-UHFFFAOYSA-N,RepoRT:0009,0009_00124,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.2,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Sebacic acid,C(CCCCC(=O)O)CCCC(=O)O,C(CCCCC(=O)O)CCCC(=O)O,CXMXRPHRNRROMY-UHFFFAOYSA-N,RepoRT:0009,0009_00125,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,1.58,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Spermidine,C(CCNCCCN)CN,C(CCNCCCN)CN,ATHGHQPFGPMSJY-UHFFFAOYSA-N,RepoRT:0009,0009_00126,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.14,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Spermine,C(CCNCCCN)CNCCCN,C(CCNCCCN)CNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,RepoRT:0009,0009_00127,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.14,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Succinic acid,C(CC(=O)O)C(=O)O,C(CC(=O)O)C(=O)O,KDYFGRWQOYBRFD-UHFFFAOYSA-N,RepoRT:0009,0009_00128,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.49,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Taurine,C(CS(=O)(=O)O)N,C(CS(=O)(=O)O)N,XOAAWQZATWQOTB-UHFFFAOYSA-N,RepoRT:0009,0009_00129,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.16,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Thiamine hydrochloride,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,JZRWCGZRTZMZEH-UHFFFAOYSA-N,RepoRT:0009,0009_00130,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.19,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Thiamine monophosphate chloride dihydrate,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O,HZSAJDVWZRBGIF-UHFFFAOYSA-O,RepoRT:0009,0009_00131,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.19,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Thymidine,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,IQFYYKKMVGJFEH-UHFFFAOYSA-N,RepoRT:0009,0009_00132,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,1.11,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
trans-4-Hydroxy-L-proline,C1C(CNC1C(=O)O)O,C1C(CNC1C(=O)O)O,PMMYEEVYMWASQN-UHFFFAOYSA-N,RepoRT:0009,0009_00133,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.17,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
trans-Zeatin-riboside,CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)CO,CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O)CO,GOSWTRUMMSCNCW-UHFFFAOYSA-N,RepoRT:0009,0009_00134,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,1.16,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Tyramine,C1=CC(=CC=C1CCN)O,C1=CC(=CC=C1CCN)O,DZGWFCGJZKJUFP-UHFFFAOYSA-N,RepoRT:0009,0009_00135,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.67,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Uridine,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,DRTQHJPVMGBUCF-UHFFFAOYSA-N,RepoRT:0009,0009_00136,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.66,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Uridine-5'-monophosphate,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O,DJJCXFVJDGTHFX-UHFFFAOYSA-N,RepoRT:0009,0009_00137,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.26,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Xanthosine-5â€²-monophosphate disodium salt,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=O)NC2=O,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=O)NC2=O,DCTLYFZHFGENCW-UHFFFAOYSA-N,RepoRT:0009,0009_00138,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.48,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
alpha-D-Galactose-1-phosphate dipotassium salt pentahydrate,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O,HXXFSFRBOHSIMQ-UHFFFAOYSA-N,RepoRT:0009,0009_00139,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.16,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
alpha-Methyl-DL-serine,CC(CO)(C(=O)O)N,CC(CO)(C(=O)O)N,CDUUKBXTEOFITR-UHFFFAOYSA-N,RepoRT:0009,0009_00140,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.17,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
beta-Alanine,C(CN)C(=O)O,C(CN)C(=O)O,UCMIRNVEIXFBKS-UHFFFAOYSA-N,RepoRT:0009,0009_00141,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.16,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
beta-Nicotinamide mononucleotide,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N,DAYLJWODMCOQEW-UHFFFAOYSA-N,RepoRT:0009,0009_00142,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.24,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
Sodium phenylpyruvate,C1=CC=C(C=C1)CC(=O)C(=O)O,C1=CC=C(C=C1)CC(=O)C(=O)O,BTNMPGBKDVTSJY-UHFFFAOYSA-N,RepoRT:0009,0009_00143,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,1.36,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
gamma-Amino-n-butyric acid,C(CC(=O)O)CN,C(CC(=O)O)CN,BTCSSZJGUNDROE-UHFFFAOYSA-N,RepoRT:0009,0009_00144,Waters ACQUITY UPLC BEH C18,C18,reversed phase,100% water + 0.1% formic + pH 3,100% acetonitrile + 0.1% formic + pH 3,3.0,0.0min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.25min A100.0 B0.0 C0.0 D0.0 flow0.24; 0.4min A91.0 B9.0 C0.0 D0.0 flow0.24; 0.8min A83.0 B17.0 C0.0 D0.0 flow0.24; 1.9min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.1min A0.0 B100.0 C0.0 D0.0 flow0.24; 2.11min A100.0 B0.0 C0.0 D0.0 flow0.24; 3.0min A100.0 B0.0 C0.0 D0.0 flow0.24,0.0,100.0,1.9,3.0,38.0,0.24,,unknown,,,0.17,,,,,,,reference,True,,"RepoRT processed_data import; license CC-BY-SA-4.0; source=PredRet; url=https://doi.org/10.1093/pcp/pcn183; missing MS transitions and peak quality metrics; bulk RepoRT import target_rows=5000; skipped=0011:URLError,0012:URLError",10
