validation_scope,split_name,holdout_key,target,model,n_rows,n_train,n_holdout,n_groups,n_folds,mean_runtime_min,mae,rmse,r2,spearman,normalized_mae_runtime_pct,mean_bias,median_abs_error
source_family_holdout,holdout,MCMRT,quality_score,linear_ridge,10073,7294.0,10073.0,343.0,,32.19229623746649,0.08148949215673627,0.0815897223205013,,,,0.08148949215673627,0.08126593436441099
source_family_holdout,holdout,MCMRT,quality_score,random_forest,10073,7294.0,10073.0,343.0,,32.19229623746649,1.765254609153999e-14,1.765254609153999e-14,,,,1.765254609153999e-14,1.765254609153999e-14
source_family_holdout,holdout,MCMRT,quality_score,extra_trees,10073,7294.0,10073.0,343.0,,32.19229623746649,7.227551890309769e-14,7.227551890309769e-14,,,,7.227551890309769e-14,7.227551890309769e-14
source_family_holdout,holdout,MCMRT,quality_score,hist_gradient_boosting,10073,7294.0,10073.0,343.0,,32.19229623746649,0.04098035654492099,0.054753203690824696,,,,0.04087529625347215,0.0199979695691751
source_family_holdout,holdout,RepoRT,rt_min,linear_ridge,4491,12876.0,4491.0,2304.0,,24.29414384324204,7.576206689404626,10.155698539656855,0.1993271542218188,0.3250227942344339,31.185320784671806,1.3467034526327188,5.744545018913991
source_family_holdout,holdout,RepoRT,rt_min,random_forest,4491,12876.0,4491.0,2304.0,,24.29414384324204,4.305495332092287,6.6275314139647055,0.6590120058885283,0.6494438708506132,17.722358770383078,-1.3065730446531738,2.858208333333332
source_family_holdout,holdout,RepoRT,rt_min,extra_trees,4491,12876.0,4491.0,2304.0,,24.29414384324204,4.216902764779489,6.502514680262941,0.6717549534793893,0.6785395425909191,17.357692421634834,-1.817786272324711,2.4655905260416673
source_family_holdout,holdout,RepoRT,rt_min,hist_gradient_boosting,4491,12876.0,4491.0,2304.0,,24.29414384324204,4.4768238796064175,6.439873792136608,0.6780486795413425,0.6311344331546835,18.427584476708144,0.10997242709560397,3.2607989204916787
source_family_holdout,holdout,RepoRT,quality_score,linear_ridge,4491,12876.0,4491.0,2304.0,,24.29414384324204,0.3358276842888156,0.37307685360349685,-2211.690299106003,-0.04902670968981142,,0.3353389618838574,0.410031465212912
source_family_holdout,holdout,RepoRT,quality_score,random_forest,4491,12876.0,4491.0,2304.0,,24.29414384324204,0.05660937615977189,0.06320666787944056,-62.511126028121666,0.05795750680972037,,0.05655732761824442,0.06875000000004239
source_family_holdout,holdout,RepoRT,quality_score,extra_trees,4491,12876.0,4491.0,2304.0,,24.29414384324204,0.08591436344920535,0.09598044803918251,-145.45006432568144,0.05792825099548789,,0.08584248357835259,0.1073437500000769
source_family_holdout,holdout,RepoRT,quality_score,hist_gradient_boosting,4491,12876.0,4491.0,2304.0,,24.29414384324204,0.01158743575829277,0.021749353733571668,-6.519980846587155,0.05783007252960283,,0.008234311073662149,0.00022720438688172973
source_family_holdout,holdout,ReTiNA,rt_min,linear_ridge,2439,14928.0,2439.0,2145.0,,21.21640016400164,7.3211898352406255,9.278618688939511,-0.3165681422643838,0.4155756765147736,34.5072197858648,-2.065252027120013,5.926846222632079
source_family_holdout,holdout,ReTiNA,rt_min,random_forest,2439,14928.0,2439.0,2145.0,,21.21640016400164,3.4339849433547593,4.486513392664929,0.6921815662347597,0.7057106536514962,16.18552118554627,2.4060616179280756,2.680169284270833
source_family_holdout,holdout,ReTiNA,rt_min,extra_trees,2439,14928.0,2439.0,2145.0,,21.21640016400164,3.080831239577725,3.7880279764156652,0.7805664431648184,0.7476269453485915,14.520989497572934,0.9785846744722682,2.8678109374843745
source_family_holdout,holdout,ReTiNA,rt_min,hist_gradient_boosting,2439,14928.0,2439.0,2145.0,,21.21640016400164,3.4470141132592595,4.4824444850832235,0.692739646283915,0.7061952819319687,16.246932027177206,2.0078389612586314,2.9086669777502348
source_family_holdout,holdout,ReTiNA,quality_score,linear_ridge,2439,14928.0,2439.0,2145.0,,21.21640016400164,0.004703157324294644,0.005976371465099326,,,,-0.00107312681065394,0.0034554800407526898
source_family_holdout,holdout,ReTiNA,quality_score,random_forest,2439,14928.0,2439.0,2145.0,,21.21640016400164,6.339373470609644e-14,6.339373470609644e-14,,,,6.339373470609644e-14,6.339373470609644e-14
source_family_holdout,holdout,ReTiNA,quality_score,extra_trees,2439,14928.0,2439.0,2145.0,,21.21640016400164,1.2745360322696797e-13,1.2745360322696797e-13,,,,1.2745360322696797e-13,1.2745360322696797e-13
source_family_holdout,holdout,ReTiNA,quality_score,hist_gradient_boosting,2439,14928.0,2439.0,2145.0,,21.21640016400164,0.01110468640744333,0.027754675420040696,,,,0.010918951204104937,4.998965640101716e-06
source_family_holdout,holdout,METLIN_SMRT_Figshare,rt_min,linear_ridge,357,17010.0,357.0,357.0,,23.0,2.538773755006474,3.196653138893886,0.25532572328472947,0.5607046993741558,11.038146760897714,-0.6090865597158952,2.081746138393031
source_family_holdout,holdout,METLIN_SMRT_Figshare,rt_min,random_forest,357,17010.0,357.0,357.0,,23.0,2.3186312760152696,3.0446391277620957,0.32446637390391375,0.6112559058588828,10.081005547892477,1.0054361609413904,1.8464416666736163
source_family_holdout,holdout,METLIN_SMRT_Figshare,rt_min,extra_trees,357,17010.0,357.0,357.0,,23.0,2.579125907546882,3.2192875692211684,0.24474281010186882,0.6098875684687254,11.213590902377748,-1.4253355568872326,2.104943419953127
source_family_holdout,holdout,METLIN_SMRT_Figshare,rt_min,hist_gradient_boosting,357,17010.0,357.0,357.0,,23.0,2.228149781353102,2.934521373501013,0.37244777001579144,0.621270998786749,9.687607745013487,-0.2361565198074325,1.659397252395296
source_family_holdout,holdout,METLIN_SMRT_Figshare,quality_score,linear_ridge,357,17010.0,357.0,357.0,,23.0,0.014800254624944158,0.014800655631361384,,,,0.014800254624944158,0.014804661982033007
source_family_holdout,holdout,METLIN_SMRT_Figshare,quality_score,random_forest,357,17010.0,357.0,357.0,,23.0,2.9531932455029164e-14,2.9531932455029164e-14,,,,2.9531932455029164e-14,2.9531932455029164e-14
source_family_holdout,holdout,METLIN_SMRT_Figshare,quality_score,extra_trees,357,17010.0,357.0,357.0,,23.0,2.2315482794965646e-14,2.2315482794965646e-14,,,,2.2315482794965646e-14,2.2315482794965646e-14
source_family_holdout,holdout,METLIN_SMRT_Figshare,quality_score,hist_gradient_boosting,357,17010.0,357.0,357.0,,23.0,6.923917148593528e-05,6.923917148593527e-05,,,,6.923917148593528e-05,6.923917148593528e-05
method_holdout,holdout,Acclaim RSLC 120 C18 | meoh_formic_acid,rt_min,linear_ridge,2010,15357.0,2010.0,335.0,,28.5,3.048685460156466,3.9175914771912406,0.7461668568234339,0.877274234474446,10.697141965461284,-1.1660947538297957,2.493367315378605
method_holdout,holdout,Acclaim RSLC 120 C18 | meoh_formic_acid,rt_min,random_forest,2010,15357.0,2010.0,335.0,,28.5,1.7301954222171454,2.583513965726566,0.8896095096836557,0.9662577417855026,6.070861130586476,-1.148960314244054,1.0119791666666647
method_holdout,holdout,Acclaim RSLC 120 C18 | meoh_formic_acid,rt_min,extra_trees,2010,15357.0,2010.0,335.0,,28.5,1.5152978654379865,1.9320109255697846,0.9382653214287564,0.9743326127799514,5.316834615571882,-0.7567454699356001,1.1716406250000002
method_holdout,holdout,Acclaim RSLC 120 C18 | meoh_formic_acid,rt_min,hist_gradient_boosting,2010,15357.0,2010.0,335.0,,28.5,1.4746118974521056,1.9209247193593626,0.9389717768184683,0.9715959327688218,5.174076833165283,-0.7436307794580995,1.132020528076576
method_holdout,holdout,Acclaim RSLC 120 C18 | meoh_formic_acid,quality_score,linear_ridge,2010,15357.0,2010.0,335.0,,28.5,0.013608345778228313,0.013608645278885124,,,,-0.013608345778228313,0.0136077854023266
method_holdout,holdout,Acclaim RSLC 120 C18 | meoh_formic_acid,quality_score,random_forest,2010,15357.0,2010.0,335.0,,28.5,5.5844218138645374e-14,5.5844218138645374e-14,,,,5.5844218138645374e-14,5.5844218138645374e-14
method_holdout,holdout,Acclaim RSLC 120 C18 | meoh_formic_acid,quality_score,extra_trees,2010,15357.0,2010.0,335.0,,28.5,1.035838081975271e-13,1.035838081975271e-13,,,,1.035838081975271e-13,1.035838081975271e-13
method_holdout,holdout,Acclaim RSLC 120 C18 | meoh_formic_acid,quality_score,hist_gradient_boosting,2010,15357.0,2010.0,335.0,,28.5,0.00016657605934424448,0.0007172959042004069,,,,0.00016657605934424448,7.669361550088905e-05
method_holdout,holdout,ACQUITY PRIMER HSS T3 with VanGuard | meoh_formic_acid,rt_min,linear_ridge,1340,16027.0,1340.0,335.0,,47.75,6.649768578820995,9.957621785023026,0.7104742535566423,0.885832956003244,13.926216918996847,-2.0869511104345633,3.3619924894783413
