source_dataset,n_test,rt_mae,rt_rmse,mean_bias,median_abs_error,ad_flagged
ReTiNA:nz,27,2.3278874124276623,2.866336729938443,-0.2678101184365347,1.8460546875000006,0
MCMRT:CM 10,62,2.311471878995841,3.1576372148644736,0.005230200109249698,1.8338210937760415,0
RepoRT:0044,104,2.256045569577942,3.1357239212698906,0.5315373564369147,1.6283333333333356,0
RepoRT:0007,24,2.2326245659722246,3.0734853900930195,0.5116979166666704,0.9894531250000069,0
MCMRT:CM 08,62,2.1758465587570153,3.0176091088975805,0.18747999153406547,1.7512760416666655,0
MCMRT:CM 11,62,2.1737450644797134,2.95695385789711,0.08191870817376458,1.5629947916666664,0
RepoRT:0040,14,2.1461814661302108,2.774184540409651,-0.0627879318125016,1.8759531649531254,0
RepoRT:0014,7,2.142197778779763,2.518521988533741,-2.0891170718660725,1.9885703126875054,0
MCMRT:CM 09,62,2.00825360680893,2.7902153030556542,0.26306035947677026,1.5136197916666747,0
ReTiNA:mcmrt,1831,1.9955732782462055,3.3263962382644285,0.2539624769748184,1.1660937500000053,0
RepoRT:0029,12,1.8604418369383662,2.3405460052084313,-1.1834283747690948,1.2935053387031186,0
RepoRT:0005,13,1.8548676940419342,2.464164045278305,-1.4410268152075336,1.0863019466744779,0
RepoRT:0025,6,1.8217227430520833,2.2213284216523292,0.5395838541770842,1.5269361979010414,0
MCMRT:CM 07,62,1.788297252115717,2.4015898070296577,0.31085632137966035,1.4827343749999997,0
RepoRT:0015,17,1.7564161903605504,2.4014492268416663,-0.060101636313572536,1.5025143853020833,0
RepoRT:0018,34,1.6727686398870278,2.648787275220019,-0.9255775004829212,0.4152676980273471,0
RepoRT:0045,35,1.6576621316943456,2.317296619486147,-0.7058548995507442,1.2584729166614608,0
internal_lab,2,1.6516141647890619,1.772467178979122,1.6516141647890619,1.6516141647890619,0
RepoRT:0019,74,1.6458943149485616,2.3199704774094854,0.5271041612282643,1.3056270833333317,0
ReTiNA:report,1029,1.5996076095549643,3.099519114165625,-0.08713435439534128,0.6345833333333329,0
METLIN_SMRT_Figshare,16011,1.519341952714697,2.2666854639489786,-0.012064388185133708,0.9759635416666672,0
ReTiNA:metlin,16010,1.5192864007295144,2.266685888756675,-0.011787130712290943,0.9753059895833376,0
RepoRT:0016,3,1.492662049022571,1.5046528796163072,0.6538201470677126,1.4971531470677126,0
MCMRT:CM 27,63,1.4646520787585144,1.901369859306656,-0.33802001112607555,1.2112751197916687,0
MCMRT:CM 06,62,1.444842655692358,2.080804944329317,0.1356464475496323,0.9551894231835965,0
MCMRT:CM 20,61,1.438293800653133,1.9706571059417,0.34393080334957055,1.0775912031249906,0
MCMRT:CM 29,63,1.435706731692047,1.9040786378308672,-0.3302654276214443,0.9752662536458345,0
MCMRT:CM 28,63,1.3561349795931712,1.7214277410433427,0.09513594637872157,1.1014583333333334,0
RepoRT:0027,53,1.3384242932386001,1.8427373093370174,0.3696241639147011,0.9821406249999995,0
RepoRT:0010,10,1.3062695255208336,1.60877746623578,-0.1223658911458323,1.2255468749999991,0
RepoRT:0023,12,1.2762529079865461,1.6445209526834295,0.5208226302087683,0.8941822916666635,0
RepoRT:0024,104,1.2466527151702478,1.9965831671477121,0.10711203489586042,0.9329568031679657,0
MCMRT:CM 19,62,1.2151171987359441,1.8094963642185635,0.2535903637425243,0.7893593665130205,0
MCMRT:CM 03,62,1.1814001596277577,1.679812643088219,0.13843840166925614,0.8823483072916662,0
RepoRT:0004,27,1.1431289360028938,1.5151943702776658,0.2639851033161648,0.9261546875000013,0
RepoRT:0031,11,1.1291333256107168,1.2826135868692048,-0.39862668316327415,1.0811328697968756,0
MCMRT:CM 21,61,1.0857806810094492,1.5970522944830892,0.2946437999074457,0.7788749999999984,0
MCMRT:CM 05,62,1.0665369691160391,1.5317170445691302,0.09652891560478236,0.8239316406250001,0
MCMRT:CM 18,62,1.0512662760592102,1.508173456770177,0.14715645862490254,0.7552734375000059,0
MCMRT:CM 04,62,1.0487178637606545,1.5037695633511263,0.1848262334904943,0.8545876458307307,0
RepoRT:0038,12,1.0438297234522558,1.6463631117331545,0.711825035952257,0.5110937499999921,0
RepoRT:0043,13,1.0278085962902663,1.6097877771102251,-0.29986234966286446,0.5788501534375055,0
MCMRT:CM 30,63,0.9667112130455396,1.296033464053557,-0.04965517655449376,0.715870572921876,0
MCMRT:CM 02,62,0.9643193568870828,1.3197105118906616,0.04086778722360781,0.7693749999999966,0
MCMRT:CM 26,63,0.9385860279698792,1.2795090876149409,-0.12832836915181398,0.6687760416666713,0
MCMRT:CM 25,63,0.918652115933008,1.2693100297357254,-0.21961887841107344,0.7117005208333271,0
MCMRT:CM 17,62,0.8280653275230174,1.1544288580266329,0.0928375968855851,0.632923046874998,0
RepoRT:0034,9,0.8242608817384257,1.051061758328938,0.7089641812175917,0.40611068229166447,0
RepoRT:0033,12,0.7723957545206165,0.8994082095544338,0.3857119237914483,0.6420012350312505,0
RepoRT:0026,3,0.7545369653593799,0.9570072730569938,-0.7545369653593799,0.5142621980677138,0
ReTiNA:retip,439,0.6689096804382791,1.4061279416148675,0.0606615612723519,0.19343750000000082,0
MCMRT:CM 01,62,0.6620382036291166,0.9368370373596132,0.0940724799017136,0.4595312499999977,0
RepoRT:0042,11,0.6288605240279354,0.904358153616003,0.276715722244791,0.3269661354166651,0
ReTiNA:massbank,398,0.6045167280815165,0.9736572569994677,0.009319500811988712,0.3416933593749989,0
METLIN_SMRT,1,0.5670599817760449,0.5670599817760449,0.5670599817760449,0.5670599817760449,0
RepoRT:0003,18,0.4696075383184315,0.5607050370016695,0.3919258832310477,0.46969010400000083,0
RepoRT,1,0.4620299479114589,0.4620299479114589,0.4620299479114589,0.4620299479114589,0
RepoRT:0041,17,0.4483535296755515,0.5581700017026848,-0.1373386170361523,0.43194111811458225,0
RepoRT:0030,12,0.30465120961284803,0.3616992607196987,0.011805903838106905,0.2513685527304683,0
RepoRT:0013,3,0.2984694730338555,0.439069180309014,0.2984694730338555,0.10198784698958363,0
RepoRT:0009,68,0.2138719420567937,0.3594500908866679,0.10961589119910378,0.11848958333333355,0
ReTiNA:enaminert,3915,0.16208320681673052,0.2066107656574793,-0.009527990501277147,0.1325609375000001,0
RepoRT:0008,6,0.08791367187499599,0.15614271384562534,0.03536757812500143,0.021319140624997956,0
ReTiNA:dynastl,32,0.011727149820965704,0.03324746942947777,0.003337286865233574,3.552713678800501e-15,0
